age,count
18,7
19,7
20,9
21,9
22,8
23,10
24,10
25,12
26,11
27,13
28,14
29,16
30,16
31,16
32,15
33,13
34,15
35,15
36,14
37,15
38,15
39,16
40,14
41,16
42,15
43,16
44,18
45,20
46,21
47,20
48,22
49,22
50,20
51,23
52,20
53,20
54,24
55,22
56,23
57,25
58,23
59,23
60,25
61,26
62,22
63,23
64,25
65,20
66,20
67,21
68,29
69,33
70,30
71,32
72,31
73,27
74,25
75,32
76,28
77,30
78,32
79,27
80,24
81,26
82,34
83,30
84,25
85,29
86,5
87,18
88,26
89,25
90,17
91,8
92,0
93,29
94,11
95,33
96,0
