value,Date,cleaned_value
0.16,2022-10-01,0.18348436605120877
0.24,2022-10-02,0.2278543769164282
0.16,2022-10-03,0.1970823085445452
0.19,2022-10-04,0.2130414268977686
0.2,2022-10-05,0.20521501852938565
0.2,2022-10-06,0.2266068679628643
0.19,2022-10-07,0.19319206333336644
0.17,2022-10-08,0.1689385608299028
0.25,2022-10-09,0.22839662902585406
0.16,2022-10-10,0.20459828745016823
0.17,2022-10-11,0.16100773662732779
0.15,2022-10-12,0.15634595361360784
0.2,2022-10-13,0.14984878502778928
0.19,2022-10-14,0.18192566482388078
0.19,2022-10-15,0.1753464451272798
0.21,2022-10-16,0.20626704185847916
0.11,2022-10-17,0.13108738856391225
0.13,2022-10-18,0.1202901744075547
0.11,2022-10-19,0.11486533199584041
0.14,2022-10-20,0.14169009402671734
0.17,2022-10-21,0.14673451316453018
0.21,2022-10-22,0.17944635896711586
0.16,2022-10-23,0.19359688046331108
0.13,2022-10-24,0.13515268347637152
0.1,2022-10-25,0.11154340816880043
0.21,2022-10-26,0.15468529831889638
0.18,2022-10-27,0.18708531010087123
0.19,2022-10-28,0.17376922526508123
0.16999999999999998,2022-10-29,0.16084787553099822
0.15,2022-10-30,0.16997118079585563
0.1,2022-10-31,0.12775987384171197
0.14,2022-11-01,0.18743014399868685
0.17,2022-11-02,0.15425603233790786
0.19,2022-11-03,0.1576619466361528
0.13,2022-11-04,0.13003257831939055
0.16,2022-11-05,0.1588857803851777
0.19,2022-11-06,0.1928593168718165
0.16,2022-11-07,0.15213192181720542
0.13,2022-11-08,0.16890674158172844
0.15,2022-11-09,0.20119587221334262
0.17,2022-11-10,0.1664062968170371
0.14,2022-11-11,0.1686368494766685
0.18,2022-11-12,0.18701869901857926
0.21,2022-11-13,0.17219638866591733
0.15,2022-11-14,0.1466595882490385
0.19,2022-11-15,0.1571721685583227
0.14,2022-11-16,0.14626479234954962
0.24,2022-11-17,0.2215180624403837
0.2,2022-11-18,0.19702762338893462
0.27,2022-11-19,0.24140264313688656
0.2,2022-11-20,0.18113297903829484
0.13,2022-11-21,0.13525460329505035
0.22,2022-11-22,0.23368830468217472
0.27,2022-11-23,0.25388299645654216
0.23,2022-11-24,0.24289913490199
0.25,2022-11-25,0.23818343718366417
0.18,2022-11-26,0.1904981308310824
0.22,2022-11-27,0.178502987748683
0.16999999999999998,2022-11-28,0.15589117350358306
0.12,2022-11-29,0.17206309919002302
0.17,2022-11-30,0.18877128515896022
0.18,2022-12-01,0.17852385714692479
0.14,2022-12-02,0.14589289519716597
0.18,2022-12-03,0.20209366652829738
0.15,2022-12-04,0.13597368112533365
0.19,2022-12-05,0.20362424825478515
0.22,2022-12-06,0.2382322838730572
0.18,2022-12-07,0.18258100600560598
0.21,2022-12-08,0.1916760096884363
0.18,2022-12-09,0.18164663203725528
0.22,2022-12-10,0.20636781283620162
0.2,2022-12-11,0.2044220568704397
0.16,2022-12-12,0.16470267460542323
0.2,2022-12-13,0.21563629773626156
0.19,2022-12-14,0.1961766059699136
0.18,2022-12-15,0.17950469150226897
0.19,2022-12-16,0.18462963235036847
0.15,2022-12-17,0.18447645055999198
0.17,2022-12-18,0.1570331008008702
0.26,2022-12-19,0.25244488629575157
0.27,2022-12-20,0.22834392696610317
0.24,2022-12-21,0.22158363013430837
0.22,2022-12-22,0.20271310479872745
0.2,2022-12-23,0.18342743008870335
0.21,2022-12-24,0.1986332076328322
0.11,2022-12-25,0.14740029757448903
0.18,2022-12-26,0.1831439602581894
0.25,2022-12-27,0.2265603157224984
0.16,2022-12-28,0.17371630523207257
0.21,2022-12-29,0.18733886308275902
0.19,2022-12-30,0.1733581875185053
0.17,2022-12-31,0.1820335736462611
